participant,task,total_points,upper region, points in upper region,% upper region,lower region,points in lower region,% lower region,critic region,points in critic region,% critic region,entries in critic region
129,AV2.1,26,[0-648],1,0.038461538461538464,[682-1079],17,0.6538461538461539,[649-681],8,0.3076923076923077,2
129,CO1.2,70,[0-318],1,0.014285714285714285,[682-1079],40,0.5714285714285714,[319-681],29,0.4142857142857143,6
137,CO2.2,37,[0-412],5,0.13513513513513514,[658-1079],18,0.4864864864864865,[413-657],14,0.3783783783783784,4
137,AV1.1,64,[0-681],23,0.359375,[715-1079],17,0.265625,[682-714],24,0.375,7
137,CO1.1,153,[0-648],18,0.11764705882352941,[682-1079],54,0.35294117647058826,[649-681],81,0.5294117647058824,24
137,LACF2.2,80,[0-517],10,0.125,[693-1079],49,0.6125,[518-692],21,0.2625,12
137,LACF1.1,40,[0-797],19,0.475,[833-1079],18,0.45,[798-832],3,0.075,2
137,AV2.2,27,[0-582],3,0.1111111111111111,[682-1079],14,0.5185185185185185,[583-681],10,0.37037037037037035,2
177,CO1.2,60,[0-318],5,0.08333333333333333,[682-1079],33,0.55,[319-681],22,0.36666666666666664,6
177,LACF2.1,93,[0-692],14,0.15053763440860216,[728-1079],39,0.41935483870967744,[693-727],40,0.43010752688172044,6
177,CO2.1,160,[0-727],10,0.0625,[763-1079],53,0.33125,[728-762],97,0.60625,10
177,AV1.2,203,[0-582],39,0.1921182266009852,[715-1079],71,0.3497536945812808,[583-714],93,0.458128078817734,20
177,AV2.1,60,[0-648],6,0.1,[682-1079],43,0.7166666666666667,[649-681],11,0.18333333333333332,5
177,LACF1.2,480,[0-692],60,0.125,[798-1079],272,0.5666666666666667,[693-797],143,0.29791666666666666,46
141,LACF1.2,58,[0-692],12,0.20689655172413793,[798-1079],26,0.4482758620689655,[693-797],20,0.3448275862068966,8
141,CO2.1,82,[0-727],26,0.3170731707317073,[763-1079],40,0.4878048780487805,[728-762],16,0.1951219512195122,7
141,LACF2.1,139,[0-692],36,0.2589928057553957,[728-1079],58,0.4172661870503597,[693-727],45,0.3237410071942446,21
